2022-05-25 22:28:09,359 efficientvit_b1 INFO: Start validation, Total sample: 500
2022-05-25 22:28:16,644 efficientvit_b1 INFO: Sample: 74, validation pixAcc: 90.931, mIoU: 56.917
2022-05-25 22:28:16,733 efficientvit_b1 INFO: Sample: 75, validation pixAcc: 90.982, mIoU: 57.181
2022-05-25 22:28:16,790 efficientvit_b1 INFO: Sample: 76, validation pixAcc: 90.916, mIoU: 56.886
2022-05-25 22:28:16,847 efficientvit_b1 INFO: Sample: 77, validation pixAcc: 90.941, mIoU: 56.835
2022-05-25 22:28:16,907 efficientvit_b1 INFO: Sample: 78, validation pixAcc: 90.982, mIoU: 56.843
2022-05-25 22:28:17,002 efficientvit_b1 INFO: Sample: 79, validation pixAcc: 91.012, mIoU: 56.886
2022-05-25 22:28:17,074 efficientvit_b1 INFO: Sample: 80, validation pixAcc: 91.068, mIoU: 56.859
2022-05-25 22:28:17,131 efficientvit_b1 INFO: Sample: 81, validation pixAcc: 91.081, mIoU: 56.870
2022-05-25 22:28:17,194 efficientvit_b1 INFO: Sample: 82, validation pixAcc: 91.085, mIoU: 56.894
2022-05-25 22:28:17,280 efficientvit_b1 INFO: Sample: 83, validation pixAcc: 91.094, mIoU: 56.855
2022-05-25 22:28:17,352 efficientvit_b1 INFO: Sample: 84, validation pixAcc: 91.136, mIoU: 56.887
2022-05-25 22:28:17,409 efficientvit_b1 INFO: Sample: 85, validation pixAcc: 91.167, mIoU: 56.825
2022-05-25 22:28:17,479 efficientvit_b1 INFO: Sample: 86, validation pixAcc: 91.181, mIoU: 56.976
2022-05-25 22:28:17,563 efficientvit_b1 INFO: Sample: 87, validation pixAcc: 91.147, mIoU: 56.448
2022-05-25 22:28:17,630 efficientvit_b1 INFO: Sample: 88, validation pixAcc: 91.124, mIoU: 57.098
2022-05-25 22:28:17,686 efficientvit_b1 INFO: Sample: 89, validation pixAcc: 91.112, mIoU: 57.100
2022-05-25 22:28:17,772 efficientvit_b1 INFO: Sample: 90, validation pixAcc: 91.150, mIoU: 57.170
2022-05-25 22:28:17,873 efficientvit_b1 INFO: Sample: 91, validation pixAcc: 91.180, mIoU: 57.102
2022-05-25 22:28:17,944 efficientvit_b1 INFO: Sample: 92, validation pixAcc: 91.085, mIoU: 56.729
2022-05-25 22:28:18,033 efficientvit_b1 INFO: Sample: 93, validation pixAcc: 91.121, mIoU: 56.752
2022-05-25 22:28:18,107 efficientvit_b1 INFO: Sample: 94, validation pixAcc: 91.045, mIoU: 56.680
2022-05-25 22:28:18,171 efficientvit_b1 INFO: Sample: 95, validation pixAcc: 90.939, mIoU: 56.522
2022-05-25 22:28:18,238 efficientvit_b1 INFO: Sample: 96, validation pixAcc: 90.911, mIoU: 56.420
2022-05-25 22:28:18,305 efficientvit_b1 INFO: Sample: 97, validation pixAcc: 90.925, mIoU: 56.400
2022-05-25 22:28:18,395 efficientvit_b1 INFO: Sample: 98, validation pixAcc: 90.948, mIoU: 56.343
2022-05-25 22:28:18,466 efficientvit_b1 INFO: Sample: 99, validation pixAcc: 90.935, mIoU: 56.333
2022-05-25 22:28:18,534 efficientvit_b1 INFO: Sample: 100, validation pixAcc: 90.940, mIoU: 56.265
2022-05-25 22:28:18,599 efficientvit_b1 INFO: Sample: 101, validation pixAcc: 90.879, mIoU: 56.218
2022-05-25 22:28:18,709 efficientvit_b1 INFO: Sample: 102, validation pixAcc: 90.876, mIoU: 56.259
2022-05-25 22:28:18,779 efficientvit_b1 INFO: Sample: 103, validation pixAcc: 90.921, mIoU: 56.289
2022-05-25 22:28:18,852 efficientvit_b1 INFO: Sample: 104, validation pixAcc: 90.917, mIoU: 56.313
2022-05-25 22:28:18,935 efficientvit_b1 INFO: Sample: 105, validation pixAcc: 90.942, mIoU: 56.309
2022-05-25 22:28:19,000 efficientvit_b1 INFO: Sample: 106, validation pixAcc: 90.993, mIoU: 56.312
2022-05-25 22:28:19,096 efficientvit_b1 INFO: Sample: 107, validation pixAcc: 90.978, mIoU: 56.943
2022-05-25 22:28:19,160 efficientvit_b1 INFO: Sample: 108, validation pixAcc: 90.994, mIoU: 57.371
2022-05-25 22:28:19,218 efficientvit_b1 INFO: Sample: 109, validation pixAcc: 91.016, mIoU: 57.332
2022-05-25 22:28:19,282 efficientvit_b1 INFO: Sample: 110, validation pixAcc: 91.014, mIoU: 57.053
2022-05-25 22:28:19,340 efficientvit_b1 INFO: Sample: 111, validation pixAcc: 91.043, mIoU: 57.026
2022-05-25 22:28:19,424 efficientvit_b1 INFO: Sample: 112, validation pixAcc: 91.077, mIoU: 56.987
2022-05-25 22:28:19,489 efficientvit_b1 INFO: Sample: 113, validation pixAcc: 91.116, mIoU: 56.965
2022-05-25 22:28:19,551 efficientvit_b1 INFO: Sample: 114, validation pixAcc: 91.154, mIoU: 56.966
2022-05-25 22:28:19,614 efficientvit_b1 INFO: Sample: 115, validation pixAcc: 91.155, mIoU: 56.887
2022-05-25 22:28:19,682 efficientvit_b1 INFO: Sample: 116, validation pixAcc: 91.144, mIoU: 56.862
2022-05-25 22:28:19,744 efficientvit_b1 INFO: Sample: 117, validation pixAcc: 91.134, mIoU: 56.416
2022-05-25 22:28:19,804 efficientvit_b1 INFO: Sample: 118, validation pixAcc: 91.138, mIoU: 56.327
2022-05-25 22:28:19,887 efficientvit_b1 INFO: Sample: 119, validation pixAcc: 91.135, mIoU: 56.283
2022-05-25 22:28:19,959 efficientvit_b1 INFO: Sample: 120, validation pixAcc: 91.162, mIoU: 56.282
2022-05-25 22:28:20,014 efficientvit_b1 INFO: Sample: 121, validation pixAcc: 91.120, mIoU: 56.275
2022-05-25 22:28:20,070 efficientvit_b1 INFO: Sample: 122, validation pixAcc: 91.156, mIoU: 56.289
2022-05-25 22:28:20,136 efficientvit_b1 INFO: Sample: 123, validation pixAcc: 91.153, mIoU: 56.228
2022-05-25 22:28:20,220 efficientvit_b1 INFO: Sample: 124, validation pixAcc: 91.172, mIoU: 56.283
2022-05-25 22:28:20,278 efficientvit_b1 INFO: Sample: 125, validation pixAcc: 91.134, mIoU: 56.235
2022-05-25 22:28:20,334 efficientvit_b1 INFO: Sample: 126, validation pixAcc: 91.179, mIoU: 56.238
2022-05-25 22:28:20,388 efficientvit_b1 INFO: Sample: 127, validation pixAcc: 91.154, mIoU: 56.241
2022-05-25 22:28:20,460 efficientvit_b1 INFO: Sample: 128, validation pixAcc: 91.155, mIoU: 56.172
2022-05-25 22:28:20,569 efficientvit_b1 INFO: Sample: 129, validation pixAcc: 91.181, mIoU: 56.266
